S/sigma, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 
85, 0.0179239, 0.124273, 0.282868, 0.45191, 0.618394, 0.77959, 0.935514, 1.08677, 1.23398, 1.37764, 1.51813, 
90, 0.0967544, 0.269369, 0.44386, 0.609953, 0.768748, 0.922049, 1.07116, 1.21691, 1.35984, 1.50027, 1.63841, 
95, 0.249685, 0.419277, 0.577309, 0.72944, 0.878047, 1.0242, 1.1684, 1.30893, 1.45179, 1.5911, 1.72882, 
100, 0.347423, 0.494275, 0.641082, 0.787525, 0.933413, 1.0786, 1.22294, 1.36631, 1.5086, 1.64967, 1.78941, 
105, 0.298979, 0.464323, 0.623969, 0.78002, 0.933672, 1.08549, 1.23572, 1.38447, 1.52969, 1.67752, 1.82174, 
110, 0.194843, 0.36713, 0.545664, 0.719034, 0.887147, 1.05105, 1.2116, 1.36932, 1.52458, 1.67756, 1.82837, 
115, 0.129261, 0.261395, 0.439701, 0.625109, 0.807448, 0.984934, 1.15777, 1.3265, 1.49163, 1.65354, 1.81249, 
